datetime,low,high,open,close,volumefrom,volumeto
2019-04-04,4778.84,5071.34,4975.97,4907.3,15160.91,75091028.79
2019-04-05,4887.34,5066.59,4907.3,5040.66,11560.17,57721250.19
2019-04-06,4925.0,5244.04,5040.66,5044.13,11990.17,60965228.53
2019-04-07,5029.7,5270.33,5044.13,5194.79,10073.94,51868140.96
2019-04-08,5132.28,5352.5,5194.79,5285.54,15523.75,81476130.3
2019-04-09,5145.0,5287.0,5285.54,5193.49,9692.89,50561742.62
2019-04-10,5164.49,5488.0,5193.49,5318.58,16026.52,85275526.27
2019-04-11,4967.24,5342.74,5318.58,5040.12,15029.95,76928285.23
2019-04-12,4901.99,5118.56,5040.12,5078.19,9858.67,49603600.11
2019-04-13,5036.74,5123.28,5078.19,5066.22,4284.12,21783412.82
2019-04-14,5013.81,5191.19,5066.22,5164.27,4401.42,22464397.43
2019-04-15,4945.54,5193.01,5164.27,5029.99,9607.43,48834658.83
2019-04-16,5016.45,5229.97,5029.99,5202.9,8604.75,44145827.38
2019-04-17,5173.11,5272.32,5202.9,5227.0,7396.94,38598117.94
2019-04-18,5222.26,5318.18,5227.0,5281.81,8214.7,43288888.25
2019-04-19,5196.7,5359.47,5281.81,5290.37,6230.69,32806296.21
2019-04-20,5260.24,5359.98,5290.37,5319.89,4881.14,25922272.83
2019-04-21,5213.34,5349.16,5319.89,5297.64,5739.01,30311973.11
2019-04-22,5250.45,5440.84,5297.64,5387.6,11965.4,63951509.97
2019-04-23,5361.01,5650.01,5387.6,5532.75,17566.38,97351926.25
2019-04-24,5374.0,5624.47,5532.75,5441.9,14767.24,80964479.93
2019-04-25,4963.0,5512.12,5441.9,5134.81,16761.42,88265920.0
2019-04-26,5041.14,5295.03,5134.81,5159.51,14211.29,73166930.82
2019-04-27,5117.46,5221.24,5159.51,5170.6,4261.41,22026583.22
2019-04-28,5101.0,5214.5,5170.6,5155.0,4907.63,25342814.44
2019-04-29,5072.01,5189.54,5155.0,5148.25,7285.66,37509346.52
2019-04-30,5126.25,5285.0,5148.25,5270.69,7203.05,37605608.19
2019-05-01,5265.61,5358.39,5270.69,5321.15,7128.85,37828445.34
2019-05-02,5306.09,5422.99,5321.15,5390.01,7181.06,38594320.08
2019-05-03,5363.0,5796.93,5390.01,5657.4,19076.57,107785261.46
2019-05-04,5512.0,5846.88,5657.4,5770.01,10457.85,59574202.73
2019-05-05,5627.35,5782.22,5770.01,5715.86,5700.46,32582243.47
2019-05-06,5564.93,5753.66,5715.86,5687.9,8983.11,50845866.17
2019-05-07,5687.9,5974.51,5687.9,5748.45,15141.75,88637134.09
2019-05-08,5656.26,5990.0,5748.45,5948.41,12046.11,70520738.79
2019-05-09,5934.49,6171.1,5948.41,6153.09,15187.54,91832172.06
2019-05-10,6108.81,6430.0,6153.09,6343.14,17453.65,109858987.7
2019-05-11,6342.98,7464.13,6343.14,7219.95,36708.21,253954328.76
2019-05-12,6755.0,7581.82,7219.95,6979.76,38995.21,278625499.63
2019-05-13,6864.93,8190.55,6979.76,7824.93,44448.41,342496832.3
2019-05-14,7621.27,8350.0,7824.93,7990.92,38350.83,305918292.1
2019-05-15,7831.77,8308.16,7990.92,8203.32,24557.41,198263273.83
2019-05-16,7660.74,8388.0,8203.32,7878.96,28652.1,229351414.47
2019-05-17,6600.0,7940.75,7878.96,7363.69,42364.34,306073578.94
2019-05-18,7204.42,7491.22,7363.69,7262.4,10869.93,79710779.2
2019-05-19,7252.58,8315.0,7262.4,8200.0,23922.84,189749462.35
2019-05-20,7570.31,8200.0,8200.0,7999.54,24116.51,190785429.44
2019-05-21,7805.34,8112.99,7999.54,7951.7,14150.34,112626107.08
2019-05-22,7506.12,8044.32,7951.7,7626.48,16456.9,128813352.15
2019-05-23,7467.1,7984.9,7626.48,7881.98,14730.03,113748677.74
2019-05-24,7794.73,8175.0,7881.98,8001.7,14607.52,116960242.04
2019-05-25,7941.25,8149.0,8001.7,8063.81,5279.69,42493577.42
2019-05-26,7881.7,8793.97,8063.81,8731.72,17405.83,147251813.53
2019-05-27,8611.44,8947.88,8731.72,8772.29,17787.67,156467270.75
2019-05-28,8545.0,8822.46,8772.29,8715.36,11661.23,101649625.62
2019-05-29,8426.09,8760.43,8715.36,8662.44,12054.15,104110874.31
2019-05-30,7972.0,9090.0,8662.44,8279.69,28840.7,246869165.36
2019-05-31,8110.0,8580.0,8279.69,8554.06,16542.69,138188211.57
2019-06-01,8452.21,8618.0,8554.06,8558.95,7486.03,63938535.91
2019-06-02,8550.0,8834.0,8558.95,8736.55,5797.63,50359779.75
2019-06-03,8030.46,8742.48,8736.55,8107.96,15411.03,129709204.64
2019-06-04,7427.0,8107.96,8107.96,7670.96,28346.04,220919778.62
2019-06-05,7570.0,7932.87,7670.96,7789.48,13129.0,101930422.5
2019-06-06,7450.0,7874.68,7789.48,7805.0,12185.16,93809650.59
2019-06-07,7756.79,8134.29,7805.0,7998.13,12180.97,97032689.73
2019-06-08,7786.01,8059.99,7998.13,7930.14,5028.21,39813591.14
2019-06-09,7508.77,7960.0,7930.14,7634.58,7444.03,57424828.7
2019-06-10,7516.9,8097.35,7634.58,8015.69,9643.38,75882753.97
2019-06-11,7702.83,8057.19,8015.69,7918.17,7678.33,60559900.94
2019-06-12,7817.0,8292.43,7918.17,8176.02,12091.23,97661611.58
2019-06-13,8048.75,8329.99,8176.02,8239.04,8580.58,70312788.92
2019-06-14,8180.08,8738.92,8239.04,8697.46,12050.35,101649250.5
2019-06-15,8594.99,8916.63,8697.46,8860.23,9570.17,83754588.25
2019-06-16,8799.7,9388.0,8860.23,8975.0,21517.86,195495774.9
2019-06-17,8975.0,9475.0,8975.0,9333.14,20193.67,187067381.07
2019-06-18,8919.72,9359.48,9333.14,9078.48,15974.31,145785748.76
2019-06-19,9035.75,9319.5,9078.48,9277.54,9173.83,84024077.51
2019-06-20,9210.3,9599.0,9277.54,9531.21,11555.59,108849898.98
2019-06-21,9531.21,10245.0,9531.21,10236.2,23563.85,231762275.5
2019-06-22,10080.0,11215.89,10236.2,10666.86,36324.27,388841922.54
2019-06-23,10490.0,11284.44,10666.86,10833.02,16785.16,181766886.66
2019-06-24,10550.21,11091.97,10833.02,11032.32,15111.05,163828306.39
2019-06-25,10997.0,11788.88,11032.32,11755.53,24269.79,275616891.91
2019-06-26,11355.5,13868.44,11755.53,12927.44,70067.59,887887492.68
2019-06-27,10300.0,13358.68,12927.44,11159.29,70145.65,810986479.74
2019-06-28,10737.87,12444.77,11159.29,12360.45,41020.87,478598908.25
2019-06-29,11318.94,12379.99,12360.45,11865.29,27300.42,323053833.66
2019-06-30,10650.06,12200.0,11865.29,10761.26,26505.91,300275703.17
2019-07-01,9953.0,11210.52,10761.26,10577.63,37633.9,396857365.17
2019-07-02,9651.0,10925.0,10577.63,10829.18,41476.42,424791613.92
